note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
D5,587.3295358348151,3,0.7739285980060231,free sweep (10% of recording),0.011859461665153503,loiacono,595.7996938297324,24.788630156590095
D5,587.3295358348151,3,0.7782016139826737,free sweep (10% of recording),0.011859461665153503,librosa,593.7170447346862,18.72640910008331
D5,587.3295358348151,4,1.022040066018235,free sweep (15% of recording),0.01088704727590084,loiacono,585.5492104098038,-5.255722079071953
D5,587.3295358348151,4,1.0250089550099801,free sweep (15% of recording),0.01088704727590084,librosa,588.3083192932095,2.882696629678063
D5,587.3295358348151,5,1.262392949021887,free sweep (19% of recording),0.010512903332710266,loiacono,596.1021036530245,25.66712903157369
D5,587.3295358348151,5,1.2653557870071381,free sweep (19% of recording),0.010512903332710266,librosa,609.160794508565,63.18348332884706
D5,587.3295358348151,6,1.5153172950085718,free sweep (23% of recording),0.010863417759537697,loiacono,588.1146035673021,2.3125491817752724
D5,587.3295358348151,6,1.5179898580245208,free sweep (23% of recording),0.010863417759537697,librosa,593.5552144056351,18.25445976343669
D5,587.3295358348151,7,1.762280297029065,free sweep (27% of recording),0.01058666780591011,loiacono,493.8833012561241,-300.00000000000006
D5,587.3295358348151,7,1.765060612000525,free sweep (27% of recording),0.01058666780591011,librosa,700.0,303.8216779692031
D5,587.3295358348151,8,2.0169763659941964,free sweep (31% of recording),0.01057139690965414,loiacono,688.4428312994207,275.0000000000001
D5,587.3295358348151,8,2.01961183999083,free sweep (31% of recording),0.01057139690965414,librosa,700.0,303.8216779692031
D5,587.3295358348151,9,2.2732623680203687,free sweep (35% of recording),0.010606787167489529,loiacono,597.1405173227516,28.680326053320844
D5,587.3295358348151,9,2.2762196250259876,free sweep (35% of recording),0.010606787167489529,librosa,700.0,303.8216779692031
D5,587.3295358348151,10,2.5165946210036054,free sweep (40% of recording),0.011061787605285645,loiacono,597.2790023744869,29.081776354444482
D5,587.3295358348151,10,2.519390775996726,free sweep (40% of recording),0.011061787605285645,librosa,600.5457737284621,38.52482667903879
D5,587.3295358348151,11,2.7652943109860644,free sweep (44% of recording),0.010761436074972153,loiacono,606.6089629318958,55.915949038492144
D5,587.3295358348151,11,2.7688122800027486,free sweep (44% of recording),0.010761436074972153,librosa,603.4867789284815,46.982369551500604
D5,587.3295358348151,12,3.023411647998728,free sweep (48% of recording),0.009497398510575294,loiacono,598.5147368962508,32.65989584274118
D5,587.3295358348151,12,3.026944015000481,free sweep (48% of recording),0.009497398510575294,librosa,605.4222698580452,52.52586459818564
D5,587.3295358348151,13,3.27255167500698,free sweep (52% of recording),0.00977164227515459,loiacono,598.6037529536667,32.91736013070049
D5,587.3295358348151,13,3.2768638739944436,free sweep (52% of recording),0.00977164227515459,librosa,601.7198463271584,41.906101284518485
D5,587.3295358348151,14,3.5172062979836483,free sweep (56% of recording),0.010282658971846104,loiacono,597.3514569445391,29.291775719286083
D5,587.3295358348151,14,3.5207577499968465,free sweep (56% of recording),0.010282658971846104,librosa,600.6373758439863,38.78887417541937
D5,587.3295358348151,15,3.7642994550114963,free sweep (60% of recording),0.010705451481044292,loiacono,598.7819035431112,33.43251640789459
D5,587.3295358348151,15,3.7671322190144565,free sweep (60% of recording),0.010705451481044292,librosa,602.497575072348,44.142293267602426
D5,587.3295358348151,16,4.017833234014688,free sweep (65% of recording),0.0102321682497859,loiacono,598.7797374713215,33.42625372026888
D5,587.3295358348151,16,4.021267275995342,free sweep (65% of recording),0.0102321682497859,librosa,600.9327404206095,39.64000257036858
D5,587.3295358348151,17,4.265001080988441,free sweep (69% of recording),0.009800826199352741,loiacono,593.7170801347046,18.7265123238595
D5,587.3295358348151,17,4.267778240988264,free sweep (69% of recording),0.009800826199352741,librosa,595.3128237377136,23.373337956590287
D5,587.3295358348151,18,4.511645646998659,free sweep (73% of recording),0.010350903496146202,loiacono,593.416378262479,17.84946631480904
D5,587.3295358348151,18,4.514510289998725,free sweep (73% of recording),0.010350903496146202,librosa,594.5255701619458,21.082404328137745
D5,587.3295358348151,19,4.764987465983722,free sweep (77% of recording),0.010886785574257374,loiacono,588.0931389857732,2.249362700252346
D5,587.3295358348151,19,4.768542063975474,free sweep (77% of recording),0.010886785574257374,librosa,590.6193180088947,9.67002549017355
D5,587.3295358348151,20,5.017851778975455,free sweep (81% of recording),0.012027191929519176,loiacono,602.2316678772933,43.37805914588522
